Locke ID	Entity ID	Vernacular Name	First name	Last name	Alias (alternate spellings, etc.)	Title(s)	Title full	Gender	Birthdate	Birth Location	Deathdate	Relationships	Leaves	Religion at Birth	Converted to	Date of Conversion	Communities	expertise	Notes
121	48854	Johannes Gerrart	Johannes	Gerrart	Johannes Gerrart			M		Cleve, Netherlands			yes				military, professional	spy, foreign_customs, political_advocate	dutch
122	48874	William Glanville	William	Glanville	William Glanville			M	1618-01-01T00:00:00Z	England	1702-01-01T00:00:00Z		yes	anglican			professional, secular_official	administrator	
123	48880	Sir William Godolphin	Sir William	Godolphin	Sir William Godolphin	knight	knight	M	1635-01-01T00:00:00Z	Cornwall, England	1696-01-01T00:00:00Z		yes	anglican	catholic	1671	FRS, secular_official, professional, titled_nobility	lawyer, diplomat, administrator, politician	
124	48887	Charles Goodall	Charles	Goodall	Charles Goodall			M	1642-01-01T00:00:00Z	England	1712-01-01T00:00:00Z	48034, 48260	no	anglican			professional, RCP, scholar	physician, administrator	member of Locke's College
125	48901	Johannes Georgius Grævius	Johannes Georgius	Grævius	Johannes Georgius Gr			M	1632-01-29T00:00:00Z	Naumburg, Saxony-Anhalt, Germany	1702-01-01T00:00:00Z	50232, 50550, 49392	no	lutheran	reformed	1655	scholar	latinist, historian, rhetorician, editor	reformed' is Dutch reform
126	48912	De Grassemare	De	Grassemare				M		France		48270	no				scholar	tutor, education	tutor in Edward Clarke's household
127	48925	Rev. Thomas Grenfeild	Rev. Thomas	Grenfeild	Rev. Thomas Grenfeild			M	1618-01-01T00:00:00Z	England	1671-01-01T00:00:00Z		yes	anglican			clergy		
128	48927	Denis Grenville	Denis	Grenville	Denis Grenville			M	1637-02-13T00:00:00Z	Kilkhampton, Cornwall, England	1703-01-01T00:00:00Z	48063	no	anglican			clergy, church_official	administrator	non-juror
129	48930	Alb. de Greve	Alb. de	Greve	Alb. de Greve			M		Netherlands			yes						
130	48932	Robert Griffith	Robert	Griffith	Robert Griffith			M		Wales			yes						
131	48934	Anne Grigg	Anne	Grigg	Anne Grigg			F		England		48935, 49412, 47946	no	anglican					Possibly married Peter Locke
132	48935	William Grigg	William	Grigg	William Grigg			M		England	1726-01-01T00:00:00Z	48934, 50301, 47946, 48260	no	anglican			clergy		
133	48945	Mevr. Cornelia Maria Guenellon	Mevr. Cornelia Maria	Guenellon	Mevr. Cornelia Maria Guenellon			F	1662-01-01T00:00:00Z	Netherlands		48946	no	remonstrant					wife of Pieter
134	48946	Pieter Guenellon	Pieter	Guenellon	Pieter Guenellon			M	1650-01-01T00:00:00Z	Netherlands	1722-01-01T00:00:00Z	48945, 50473, 50474	no	remonstrant			professional, scholar	physician	husband of cornelia
135	48952	Philippe Guide	Philippe	Guide	Philippe Guide			M		Montpellier, HÃ©rault, France	1718-01-01T00:00:00Z		yes	huguenot			professional, scholar	physician	
136	48955	Lady Elizabeth Guise	Lady Elizabeth	Guise	Lady Elizabeth Guise	lady	lady	F		England			yes				titled_nobility		
137	48969	Laurence Hackett	Laurence	Hackett	Laurence Hackett			M		place unknown			yes	anglican			clergy	administrator	
138	48979	James Hamilton, 6th earl of Abercorn	James	Hamilton	James Hamilton, 6th earl of Abercorn	earl	6th earl of Abercorn	M	1661-01-01T00:00:00Z	Scotland	1734-01-01T00:00:00Z		yes	anglican			titled_nobility, secular_official, military, FRS	administrator, politician, diplomat, finance	
139	48983	Thomas Harborne	Thomas	Harborne	Thomas Harborne			M		place unknown			yes						
140	48987	John Hardy	John	Hardy	John Hardy			M	1680-01-01T00:00:00Z	Garstang, Lancashire, England	1740-01-01T00:00:00Z		yes	presbyterian	anglican	1727	clergy, scholar	tutor, antiquarian	
141	48990	Robert Harley, 1st earl of Oxford	Robert	Harley	Robert Harley, 1st earl of Oxford	earl	1st earl of Oxford	M	1661-12-05T00:00:00Z	London, Greater London, England	1724-01-01T00:00:00Z		yes	presbyterian	anglican	1680	titled_nobility, secular_official	politician, diplomat, book_collector	
142	49000	Henry Hatrell	Henry	Hatrell	Henry Hatrell			M		England	1728-01-01T00:00:00Z		yes	presbyterian			professional	lawyer, tutor, administrator	
143	49005	Benjamin Hawkshaw	Benjamin	Hawkshaw	Benjamin Hawkshaw			M	1672-01-01T00:00:00Z	Dublin, county Dublin, Ireland	1738-01-01T00:00:00Z	49006	no	church_of_ireland			clergy	poet, theologian, latitudinarian	son of elinor
144	49006	Elinor Hawkshaw	Elinor	Hawkshaw	Elinor Hawkshaw, née Elinor Parry			F	1640-01-01T00:00:00Z	Ireland	1690-01-01T00:00:00Z	49005, 49948, 48652	no	church_of_ireland					courted by locke briefly, she married someone else. Née Elinor Parry. Mother of ben
145	49009	Roger Hazard	Roger	Hazard	Roger Hazard			M		place unknown			yes				professional	merchant	fishmonger, cheesemonger, witness to Locke's will
146	49010	James Heane	James	Heane	James Heane			M	1613-01-01T00:00:00Z	place unknown	1655-01-01T00:00:00Z		yes	puritan			military, secular_official	administrator	
147	49014	Franz Mercurius van Helmont	Franz Mercurius van	Helmont	Franz Mercurius van Helmont, Baron van Helmont and Merode in the Holy Roman Empire	baron	Baron van Helmont and Merode	M	1614-10-20T00:00:00Z	Vilvoorde, near Brussels, Brussels capital region, Belgium	1698-01-01T00:00:00Z	48034, 49753, 48788, 49392	no	catholic	cabbalist, quaker	1667, 1675	professional, titled_nobility, scholar	physician, chemist, alchemist, diplomat, tutor, theologian	
148	49031	Thomas Herbert, 8th earl of Pembroke and 5th earl of Montgomery	Thomas	Herbert	Thomas Herbert, 8th earl of Pembroke and 5th earl of Montgomery	earl, earl, knight	8th earl of Pembroke, 5th earl of Montgomery, knight	M	1657-01-01T00:00:00Z	London, Greater London, England	1733-01-01T00:00:00Z		yes	anglican			titled_nobility, secular_official, FRS	administrator, politician, diplomat, collector, antiquarian	Locke's patron, dedicatee of Essay Concerning Human Understanding
149	49042	John Hildesly	John	Hildesly	John Hildesly			M		place unknown			yes						
150	49044	Abraham Hill	Abraham	Hill	Abraham Hill			M	1635-06-01T00:00:00Z	England	1722-01-01T00:00:00Z		yes	anglican			scholar, FRS	administrator, natural_scientist, estate_manager, collector, foreign_customs	Secretary of the FRS, involved in the founding
151	49058	James Hodges	James	Hodges	James Hodges			M		Scotland			yes	presbyterian			clergy	political_advocate, pamphleteer	
152	49059	Rev. Nathaniel Hodges	Rev. Nathaniel	Hodges	Rev. Nathaniel Hodges			M	1634-01-01T00:00:00Z	England	1700-01-01T00:00:00Z	48327, 50291	no	anglican			clergy, scholar	administrator, philosopher	Friend of Locke's from University. NOT to be confused with the physician Nathaniel hodges, 1629-1688. Whom locke I suspect must have known. Lifelong friends. Was the chaplain to Cooper 1st Earl
153	49060	William Hodges	William	Hodges	William Hodges			M		England			yes						tenant and neighbour, possible realtive of nathaniel?
154	49065	Sir William Honywood, 2nd baronet 	Sir William	Honywood	Sir William Honywood, 2nd baronet	knight, baronet	knight, 2nd baronet	M	1654-01-01T00:00:00Z	England	1748-01-01T00:00:00Z		yes	anglican			titled_nobility, secular_official	politician, administrator	
155	49070	Jakob Hochreutiner	Jakob	Hochreutiner	Jacques Horutener			M	1623-09-05T00:00:00Z	St Gallen, canton of St Gallen, Switzerland	1689-01-01T00:00:00Z		yes	reformed			professional, secular_official	diplomat, finance, merchant	
156	49071	John Hoskins	John	Hoskins	John Hoskins			M	1640-01-01T00:00:00Z	Salisbury, England	1705-01-01T00:00:00Z	48327, 47759	no	anglican			FRS, professional	lawyer, poet	I very strongly suspect that this is John Hoskins member of the FRS, which the EE data does not identify him as - I can find no substantiation for the EE account of this figure, and trust the DNB notes over theirs. But an entry to flag. Also the 1st Earl Shaftes' solicitor
157	49073	Lady Ann Howe	Lady Ann	Howe	Lady Ann Howe	lady	Lady Howe	F	1644-01-01T00:00:00Z	England	1690-01-01T00:00:00Z	47749	no	anglican			titled_nobility		Sister of Dorothy Ashley, Countess of Shaftesbury
158	49077	John Hudson	John	Hudson	John Hudson			M	1662-01-01T00:00:00Z	Wythop, near Cockermouth, Cumbria, England	1719-01-01T00:00:00Z		yes	anglican			clergy, scholar	classicist, librarian, book_collector, antiquary, administrator	
159	49088	Mary Huntington	Mary	Huntington	Mary Huntington			F		England			yes	anglican					
160	49089	Robert Huntington, bishop of Raphoe	Robert	Huntington	Robert Huntington, bishop of Raphoe	bishop	bishop of Raphoe	M	1637-01-01T00:00:00Z	Deerhurst, near Tewkesbury, Gloucestershire, England	1701-01-01T00:00:00Z	48034	no	anglican			clergy, church_official	orientalist, foreign_customs, book_collector, antiquary, philosopher, administrator, arabist, Turkey	
161	49095	John Hutton	John	Hutton	John Hutton			M		Caerlaverock, Dumfriesshire, Scotland	1712-01-01T00:00:00Z		yes	episcopalian			professional, FRS, RCP, secular_official	spy, physician, shepherd, administrator, politician, espionage, education, philanthropist	
162	49113	Ayliffe Ivye	Ayliffe	Ivye	Ayliffe Ivye			M		England			yes				professional	physician, chemist	locke's ailing father was his patient
163	49115	John Jackman	John	Jackman	John Jackman			M	1672-01-01T00:00:00Z	Haslemere, Surrey, England	1743-01-01T00:00:00Z		yes	anglican			clergy		
164	49132	Elizabeth Jepp	Elizabeth	Jepp	Elizabeth Jepp			F		England	1665-01-01T00:00:00Z	48272, 50299	no	anglican					Mother of Mary clarke
165	49137	Edward Jocelyn	Edward	Jocelyn	Edward Jocelyn			M	1652-01-01T00:00:00Z	England	1732-01-01T00:00:00Z		yes	anglican			clergy, professional	lawyer, administrator, education	
166	49138	Samuel Jocelin	Samuel	Jocelin	Samuel Jocelin			M		Bishop's Storford, England			yes				professional	merchant, grocer, forwarder	forwarded letters to Oates for Locke
167	49140	James Johnston	James	Johnston	James Johnstoun			M	1655-09-09T00:00:00Z	Scotland	1737-01-01T00:00:00Z	47939	no	presbyterian			secular_official	diplomat, courtier, espionage, spy, politician, administrator, gardening, political_advocate	
168	49163	Henri Justel	Henri	Justel	Henri Justel			M	1620-01-01T00:00:00Z	Paris, Ile-de-France, France	1693-01-01T00:00:00Z	48034, 48531	no	huguenot			scholar, FRS	book_collector, antiquarian, librarian, collector, letter_writer	Assistant keeper of Charles II's manuscripts
169	49175	Peter King, 1st baron King of Ockham	Peter	King	Peter King, 1st Baron King of Ockham	baron	1st baron King of Ockham	M	1669-01-01T00:00:00Z	Exeter, Devon, England	1734-01-01T00:00:00Z	52531	no	presbyterian			titled_nobility, secular_official, family, professional, scholar	politician, lawyer	Locke's first cousin, managed his affairs in london, inherited half his estate. Lod Chancellor and chief justice of England
170	49176	Richard King	Richard	King	Richard King			M	1671-01-01T00:00:00Z	England	1723-01-01T00:00:00Z		yes	anglican			clergy		
171	49181	Timothy Kiplin	Timothy	Kiplin	Timothy Kiplin			M		England			yes				servant		Locke had two correspondents called Timothy Kiplin. This is the father. His son Timothy was Locke's amanuensis after Sylvester Brounower. We need to add the son to the database.
172	49246	Arthur Lane	Arthur	Lane	Arthur Lane			M		place unknown	1700-01-01T00:00:00Z		yes				professional	tutor, administrator, education	
173	49247	Joseph Lane	Joseph	Lane	Joseph Lane			M		place unknown	1700-01-01T00:00:00Z		yes	anglican			professional, secular_official, FRS	administrator, lawyer	
174	49295	Henry Layton	Henry	Layton	Henry Layton			M	1622-01-01T00:00:00Z	Rawdon, Yorkshire, England	1705-01-01T00:00:00Z		yes	freethinker	anglican	1703	clergy, scholar	theologian, philosopher	
175	49308	Jean Le Clerc	Jean	Le Clerc	Jean Le Clerc			M	1657-03-29T00:00:00Z	Geneva, canton of Geneva, Switzerland		49724, 50487, 51697, 47687, 48034, 49392	no	freethinker	remonstrant	1680	clergy, professional, scholar	theologian, philosopher, tutor, classicist, translator, letter_writer	first biographer of locke & longtime friend of locke and newton
176	49326	Dr  Sebastien Le Fevre	Sebastien 	Le Fevre	Dr Le Fevre			M		Anjou. France	1702-01-01T00:00:00Z	47755	no	huguenot			professional, RCP	physician	french
177	49385	I. L.	I.	L.	I. L.					France			yes						Unable to find in EE
178	49387	Robert Liddell	Robert	Liddell	Robert Liddell			M	1645-01-01T00:00:00Z	Durham, England			yes				professional	merchant, banker, finance, administrator	helped found the bank of england
179	49390	Richard Lilburne	Richard	Lilburne	Richard Lilburne			M		England	1684-01-01T00:00:00Z		yes	anglican			secular_official	governor, colonist, poison, foreign_customs	
180	49391	Francis Limborch	Francis	Limborch	Francis Limborch, Frans Van Limborch			M	1676-07-23T00:00:00Z	Netherlands	1738-01-01T00:00:00Z		yes	remonstrant			professional	merchant	
181	49392	Philippus van Limborch	Philippus	van Limborch	Philippus van Limborch			M	1633-06-19T00:00:00Z	Amsterdam, North Holland, Netherlands	1712-01-01T00:00:00Z	50232, 50473, 50487, 48260, 49014, 48901, 49308, 50440, 48788, 48787	no	remonstrant			clergy, scholar	philosopher, theologian, editor, letter_writer, latitudinarian	great friend of locke's especially in re: religious toleration, and when locke was living in holland, cousin of egbertus veen
182	49406	Evan Lloyd	Evan	Lloyd	Evan Lloyd			M		place unknown			yes						
183	49409	George Locke	George	Locke	George Locke			M		England		48260	no				servant		servant of john hurding & awnsham churchill, possible relation, unclear
184	49411	John Locke, Senior	John	Locke, Senior	John Locke, Senior			M	1606-04-29T00:00:00Z	Pensford, Somerset, England	1661-01-01T00:00:00Z	49412, 49413, 49414, 49417	no	puritan			family, military, professional, secular_official	lawyer, administrator, estate_manager	Locke's father
185	49412	Peter Locke	Peter	Locke	Peter Locke			M	1607-07-13T00:00:00Z	Chew Magna, Somerset, England	1686-01-01T00:00:00Z	49411, 48934, 49413, 49414, 49417, 50303, 50301, 50306	no	puritan			family, professional	tanner	married anne grigg, John Locke's uncle, younger brotehr of locke senior
186	49413	Samuel Locke	Samuel	Locke	Samuel Locke			M		England	1715-01-01T00:00:00Z	49412, 49411, 49414, 49417	no	puritan			family, professional	banker, administrator, finance	director of bank of england 1697-8, locke's second cousin
187	49414	William Locke	William	Locke	William Locke			M	1605-01-01T00:00:00Z	Cerne Abbas, Dorset, England	1682-01-01T00:00:00Z	49412, 49413, 49411, 49417, 50535	no				family		second cousin of locke's
188	49415	James Lockhart	James	Lockhart	James Lockhart, 17th Laird of Lee	laird	17th Laird of Lee	M	1675-01-01T00:00:00Z	place unknown	1715-01-01T00:00:00Z		yes	presbyterian			titled_nobility, secular_official	politician	cousin of martha lockhart
189	49416	Lady Martha Lockhart	Lady Martha	Lockhart	Lady Martha Lockhart, Baroness of Murkle and Stevenson			F	1668-01-01T00:00:00Z	England	1752-01-01T00:00:00Z	48110	no	anglican			titled_nobility	courtier	cousin of james lockhart
190	49417	Sir John Lock	Sir John	Lock	Sir John Lock	knight	knight	M		England	1746-01-01T00:00:00Z	49412, 49413, 49414, 49411	no	puritan			family, professional	merchant, administrator, espionage, foreign_customs, Turkey, China	son of samuel locke, possibly second cousin to john locke
191	49448	John Lukin	John	Lukin	John Lukin			M		England			yes				professional	forwarder, merchant	
192	49455	Cornelius Lyde	Cornelius	Lyde	Cornelius Lyde			M	1640-01-01T00:00:00Z	England	1717-01-01T00:00:00Z	47983, 50302	no	anglican			secular_official	finance, administrator	
193	49457	Sir Thomas Lynch	Sir Thomas	Lynch	Sir Thomas Lynch	knight	knight	M		England			yes	anglican			military, secular_official	administrator, colonist, governor, estate_manager	
194	49477	J. Maer	J.	Maer	J. Maer			M		place unknown			yes					chemist	
195	49499	Robert Mandey	Robert	Mandey	Robert Mandey			M		England		47886	no				servant		secretary or amanuensis to George Berkeley, first earl
196	49501	Frances Manners, countess of Rutland	Frances	Manners	Frances Manners, countess of Rutland	countess	countess of Rutland	F	1613-01-01T00:00:00Z	England	1671-01-01T00:00:00Z		yes	anglican			titled_nobility		
197	49505	Samuel Manship	Samuel	Manship	Samuel Manship			M		England	1720-01-01T00:00:00Z		yes				professional	book_seller, publisher	published Essay concerning Human understanding
198	49507	John Mapletoft	John	Mapletoft	John Mapletoft			M	1631-06-15T00:00:00Z	Margaretting, Essex, England	1721-01-01T00:00:00Z	48709, 50322, 48475, 48034	no	anglican			clergy, FRS, professional, scholar	physician, tutor, administrator, latinist, theologian	related to thomas firmin
199	49541	Frideric Marx	Frideric	Marx	Frideric Marx			M		Utrecht, Holland		49657	no	reformed			professional	tutor	tutor to henry morduant, son of charles morduant, 3rd earl
200	49543	Esther Masham	Esther	Masham	Esther Masham			F	1675-01-01T00:00:00Z	England	1721-01-01T00:00:00Z	49741, 48378, 48379, 48627	no	huguenot				foreign_customs	grew up in the house at oates in which locke lived
201	49571	Edmund Meara	Edmund	Meara	Edmund Meara			M	1614-01-01T00:00:00Z	Ormond, county Tipperary, Ireland	1681-01-01T00:00:00Z		yes	church_of_ireland			professional, RCP, scholar	physician	
202	49631	Sir Thomas Molyneux, 1st baronet	Sir Thomas	Molyneux	Sir Thomas Molyneux, 1st baronet	baronet	1st baronet	M	1661-01-01T00:00:00Z	Ireland	1733-01-01T00:00:00Z	49632, 48112	no	church_of_ireland			titled_nobility, FRS, professional, scholar, secular_official	physician, chemist, philosopher, biologist,  politician, naturalist	brother of william, member of dublin philosophical society, intiator of various medical advances in ireland
203	49632	William Molyneux	William	Molyneux	William Molyneux			M	1656-04-17T00:00:00Z	Dublin, county Dublin, Ireland	1698-01-01T00:00:00Z	49631, 48260	no	church_of_ireland	freethinker	1688	FRS, scholar, secular_official	natural_philosopher, physics, politician, political_advocate, optics, astronomer, education, administrator	brother of thomas, founder of dublin philosophical society
204	49656	Carey Mordaunt, countess of Peterborough	Carey	Mordaunt	Carey Mordaunt, countess of Peterborough, née Frazier	countess	countess of Peterborough	F	1658-01-01T00:00:00Z	England	1709-01-01T00:00:00Z	49657	no	anglican			titled_nobility	courtier	wife of charles
205	49657	Charles Mordaunt, 3rd earl of Peterborough and 1st earl of Monmouth	Charles	Mordaunt	Charles Mordaunt, 3rd earl of Peterborough and 1st earl of Monmouth	knight, earl, earl	knight, 3rd earl of Peterborough, 1st earl monmouth	M	1658-01-01T00:00:00Z	England		49541, 49656	no	anglican			titled_nobility, military	diplomat, sea_captain, politician, general, administrator, gardening, patron_letters	husband of carey, corresponded with swift, friend of pope's,  key in the wars in spain
206	49711	Sir Paul Neile	Sir Paul	Neile	Sir Paul Neile	knight	knight	M	1613-01-01T00:00:00Z	London, Greater London, England	1686-01-01T00:00:00Z		yes	anglican			titled_nobility, politician, FRS	courtier, patron_science, optics,	only scholarly text a 'discourse on cider'
207	49712	John Nelson	John	Nelson	John Nelson			M	1653-01-01T00:00:00Z	England	1734-01-01T00:00:00Z		yes	puritan			professional, secular_official	merchant, administrator, governor, colonist, foreign_customs	not related to robert nelson
208	49713	Robert Nelson	Robert	Nelson	Robert Nelson			M	1656-01-01T00:00:00Z	England	1715-01-01T00:00:00Z		yes	anglican			clergy, FRS	philanthropist, astronomer, letter_writer, latitudinarian	not related to john nelson
209	49724	Sir Isaac Newton	Sir Isaac	Newton	Sir Isaac Newton	knight	knight	M	1642-01-01T00:00:00Z	England	1727-01-01T00:00:00Z	49308, 48034, 48670, 49813, 48275, 49914, 51613	no	anglican	freethinker	1670	FRS, scholar, secular_official	mathematician, astronomer, physics, alchemist, optics, theologian, finance, latinist, politician, natural_philosopher, administrator, philosopher	president of the FRS, warden of the Mint
210	49726	Francis Nicholson	Francis	Nicholson	Sir Francis Nicholson	knight	knight	M	1655-11-12T00:00:00Z	Downholme Park, near Marske, Yorkshire, England	1728-01-01T00:00:00Z	47939	no	anglican			FRS, secular_official, military	governor, colonist, philanthropist, administrator	
211	49741	John Norris	John	Norris	John Norris			M	1657-01-02T00:00:00Z	Collingbourne Kingston, Wiltshire, England	1711-01-01T00:00:00Z	49543, 48788, 48378	no	calvinist	anglican	1672	clergy, scholar	theologian, philosopher, poet	
212	49750	Joseph Offley	Joseph	Offley	Joseph Offley			M		place unknown			yes					patient	
213	49753	Henry Oldenburg	Henry	Oldenburg	Henry Oldenburg			M	1619-01-01T00:00:00Z	Bremen, state of Bremen, Germany	1677-01-01T00:00:00Z	48034, 51613, 49014	no	calvinist	anglican	1673	FRS, scholar, professional	theologian, tutor, administrator, letter_writer, diplomat, foreign_customs	Secretary of the FRS, involved in the founding
214	49754	Rev. Richard Old	Rev. Richard	Old	Rev. Richard Old			M	1639-01-01T00:00:00Z	England	1692-01-01T00:00:00Z		yes	anglican			clergy		
215	49767	Sir Hugh Owen, baronet	Sir Hugh	Owen	Sir Hugh Owen, 2nd baronet	knight, baronet	knight, baronet	M	1645-01-01T00:00:00Z	Wales	1699-01-01T00:00:00Z		yes	anglican			titled_nobility, secular_official	politician, administrator	
216	49769	William Owen	William	Owen	William Owen			M	1618-01-01T00:00:00Z	England	1672-01-01T00:00:00Z		yes	anglican			clergy		
217	49770	Sir James Oxenden	Sir James	Oxenden	Sir James Oxenden	baronet, knight	baronet, knight	M	1641-01-01T00:00:00Z	place unknown	1708-01-01T00:00:00Z		yes	anglican			titled_nobility, secular_official	politician, administrator	
218	49779	Thomas Papillon	Thomas	Papillon	Thomas Papillon			M	1623-01-01T00:00:00Z	place unknown	1702-01-01T00:00:00Z	50213	no	huguenot			professional, secular_official	merchant, politician, political_advocate, finance, administrator	
219	49789	John Parry, bishop of Ossory	John	Parry	John Parry, bishop of Ossory	bishop	bishop of Ossory	M	1634-01-01T00:00:00Z	Ireland	1677-01-01T00:00:00Z		yes	church_of_ireland			clergy, church_official	administrator, philanthropist	
220	49791	John Paschal	John	Paschal	John Paschal			M		place unknown			yes				secular_official	administrator, courtier	
221	49793	Passebon		Passebon				M		France			yes				professional	tutor	french
222	49797	John Patrick	John	Patrick	John Patrick			M	1654-01-01T00:00:00Z	London, Greater London, England	1730-01-01T00:00:00Z		yes				scholar, FRS	inventor, longitude, barometers	
223	49800	Louis Paul	Louis	Paul	Louis Paul			M		France	1707-01-01T00:00:00Z		yes				professional	physician, foreign_customs, france, tutor	
224	49802	Robert Pawling	Robert	Pawling	Robert Pawling			M	1635-08-01T00:00:00Z	Oxford, Oxfordshire, England	1709-01-01T00:00:00Z	48112, 48270	no	puritan			professional, secular_official	politician, merchant, administrator, letter_writer	
225	49813	Samuel Pepys	Samuel	Pepys	Samuel Pepys			M	1633-02-23T00:00:00Z	London, Greater London, England	1703-01-01T00:00:00Z	49724, 47790, 47886	no	anglican			FRS, secular_official, military	diarist, administrator, classicist, sea_captain, estate_manager, politician, foreign_customs, france, netherlands, book_collector	secretary of the FRS, then President
226	49814	Andrew Percivall	Andrew	Percivall	Andrew Percivall			M		place unknown	1695-01-01T00:00:00Z	48237	no				military, secular_official	colonist, administrator, estate_manager, 	
227	49818	George Percivall	George	Percivall	George Percivall			M	1637-01-01T00:00:00Z	Ireland	1675-01-01T00:00:00Z		yes	anglican			secular_official	poet, administrator, courtier	
228	49828	Charles Perrott	Charles	Perrott	Charles Perrott			M	1627-01-01T00:00:00Z	place unknown	1677-01-01T00:00:00Z		yes				professional	journalist	
229	49852	John Pickering	John	Pickering	John Pickering			M	1645-01-01T00:00:00Z	place unknown	1703-01-01T00:00:00Z	49853	no				professional	lawyer, pupil	former pupil of locke's at oxford, son of robert
230	49853	Robert Pickering	Robert	Pickering	Robert Pickering			M	1619-01-01T00:00:00Z	place unknown		49852	no				professional	lawyer	father of john
231	49869	Pilliod		Pilliod				M		place unknown			yes	remonstrant			professional	tutor, education	swiss
232	49882	Robert Pitt	Robert	Pitt	Robert Pitt			M	1653-01-01T00:00:00Z	Blandford Forum, Dorset, England	1713-01-01T00:00:00Z	50535	no	anglican			professional, scholar, FRS, RCP	physician, biologist, philanthropist	
233	49895	Edward Pococke	Edward	Pococke	Edward Pococke			M	1648-10-13T00:00:00Z	Childrey, Berkshire, England	1726-01-01T00:00:00Z	49949, 47888, 48034	no	anglican			clergy, scholar	arabist, hebraist	
234	49913	Mary Popple	Mary	Popple	Mary Popple			F		England		49914, 48788, 48378, 48379	no	puritan					wife of william
235	49914	William Popple	William	Popple	William Popple			M	1638-01-01T00:00:00Z	Hull, Yorkshire, England	1708-01-01T00:00:00Z	49913, 48788, 48378, 48379, 48775, 48326, 49724, 50118, 48067, 48260	no	puritan			professional, scholar, secular_official	merchant, amanuensis, latinist, latitudinarian, theologian, political_advocate	secretary to locke on board of trade, husband of mary, father of william jr
236	49915	William Popple, Junior	William	Popple, Junior	William Popple, Junior			M	1666-01-01T00:00:00Z	England	1722-01-01T00:00:00Z	49913, 49914, 48326	no	puritan			secular_official	administrator	son of mary and william popple, secretary of the board of trade…
237	49924	James Pound	James	Pound	Rev. James Pound			M	1669-01-01T00:00:00Z	England	1724-01-01T00:00:00Z		yes	anglican			professional, FRS, clergy	physician, astronomer, foreign_customs, india, china	
238	49926	Charles Powell	Charles	Powell	Charles Powell			M		place unknown			yes						
239	49929	Sir Littleton Powys	Sir Littleton	Powys	Sir Littleton Powys	knight	knight	M	1647-01-01T00:00:00Z	England	1732-01-01T00:00:00Z		yes	anglican			FRS, professional	lawyer	not FRS till 1724
240	49948	Mrs Ellice Price	Mrs Ellice	Price	Mrs Ellice Price			F		Wales		49006	no				servant		servant to elinor hawkshaw/parry
241	49949	Humphrey Prideaux	Humphrey	Prideaux	Humphrey Prideaux			M	1648-05-03T00:00:00Z	Padstow, Cornwall, England	1724-01-01T00:00:00Z	49895	no	anglican			clergy, church_official, scholar	hebraist, editor	
242	49958	Jonas Proast	Jonas	Proast	Jonas Proast			M	1642-01-01T00:00:00Z	place unknown	1710-01-01T00:00:00Z		yes	puritan	anglican	1663	clergy, church_official	political_advocate	antitolerationist, opponent of locke and tillotson's
243	49987	Francis Raulin	Francis	Raulin	Franciscus Raulin			M		France			yes	jesuit			clergy, scholar	physics, philosopher, latinist, foreign_customs, munich, vienna	french
244	50001	Abbé Eusèbe Renaudot	abbé Eusèbe	Renaudot	Eusèbe Renaudot	abbé	abbé	M	1646-01-01T00:00:00Z	Paris, Ile-de-France, France	1720-01-01T00:00:00Z	50390	no	catholic			clergy, scholar	book_collector, arabist, hebraist, orientalist, espionage, courtier, theologian	academy francaise member & president, french
245	50002	Hilary Reneu	Hilary	Reneu	Hilary Reneu			M	1652-01-01T00:00:00Z	Bordeaux, Gironde, France	1713-01-01T00:00:00Z		yes	huguenot			professional	merchant, translator, finance	director of bank of england, french - naturlised to english
246	50051	Richard Roderick	Richard	Roderick	Richard Roderick			M		place unknown			yes						
247	50071	Olaus Rømer	Olaus	Rømer	Olaus Christensen Rømer, Ole Rømer, Romer, Roemer			M	1644-09-25T00:00:00Z	Aarhus, Aarhus Municipality, Denmark	1710-09-19T00:00:00Z	50390	no	lutheran			professional, scholar	astronomer, optics, physics, tutor, mathematician, administrator, philanthropist	danish, royal observatory in paris, tutor to the dauphin, lutheran church of denmark, determined speed of light
248	50082	Thomas Ross	Thomas	Ross	Thomas Ross			M		Wootton Fitzpaine, Dorset, England			yes				professional	physician	
249	50099	Jean Baptiste Rousseau	Jean Baptiste	Rousseau	Jean Baptiste Rousseau			M	1670-04-16T00:00:00Z	Paris, Ile-de-France, France	1741-05-17T00:00:00Z		yes	catholic				courtier, poet, playwright, letter_writer	corresponded with voltaire, french
250	50114	Edmund Rumney	Edmund	Rumney	Edmund Rumney			M	1635-01-01T00:00:00Z	Wrington, Somerset, England	1702-01-01T00:00:00Z		yes				family		writes to locke to ask favours
251	50117	Isaac Rush	Isaac	Rush	Isaac Rush			M		England		48327	no	quaker			secular_official	colonist, administrator, estate_manager, 	
252	50118	Sir James Rushout, baronet	Sir James	Rushout, baronet	Sir James Rushout, baronet	knight, baronet	knight, baronet	M	1644-03-22T00:00:00Z	England	1698-01-01T00:00:00Z	49914	no	reformed	anglican	1661	titled_nobility, secular_official	politician	
253	50167	Johannes Schardius	Johannes	Schardius	J. Schard, Dr. Scardius, Dr. Scardysse			M		Germany			yes				professional, scholar	alchemist, chemist, physician, courtier	
